,Unnamed: 0,macron,kebbab,barkhane,sarkozy,soral,hollande,poutine,valls,trump,erdogan,ahmadou,omar,marianne,bigot,kadhafi,washington,bathily,coulibaly,kacimi,foucher,couriol,lugan,bouhafs,michel,keita,ministre,ghali,assa,traore,adama,koufa,droukdal,floyd,louis,brakni,emie,beghal,lecointre,huyghe,hitler,kersten,francis,habib,ihuellou,fenech,zuckerberg,wagner,maiga,berry,nuland,ryabkov,wyke,sinclair,fleck,cattigan,itno,deby
0,macron,12,0,3,3,5,3,4,4,5,2,0,6,0,5,2,0,0,0,2,0,0,0,0,4,0,0,3,0,6,0,0,0,1,0,0,0,4,1,0,0,0,0,2,0,0,2,1,2,0,0,0,2,4,4,2,2,0
1,kebbab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,barkhane,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,0,1,1,2,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
3,sarkozy,3,0,0,2,2,2,6,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,soral,5,0,1,2,2,1,5,3,4,3,0,4,0,1,0,0,0,0,2,0,0,0,3,2,1,0,1,0,8,0,0,0,2,0,1,1,2,1,0,2,1,1,1,0,0,0,0,1,1,3,1,1,2,2,1,1,0
5,hollande,3,0,0,2,1,0,4,3,4,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6,poutine,4,0,1,6,5,4,6,8,6,4,3,1,0,1,0,1,1,2,0,0,0,1,1,0,1,0,0,1,4,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,3,1,2,2,2,0,2,2
7,valls,4,0,0,4,3,3,8,2,4,2,2,1,0,1,0,0,1,2,1,0,0,0,0,2,0,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,1,1,0
8,trump,5,0,0,4,4,4,6,4,4,3,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
9,erdogan,2,0,0,2,3,1,4,2,3,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10,ahmadou,0,0,0,0,0,0,3,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11,omar,6,0,1,0,4,1,1,1,1,1,3,2,1,1,0,0,0,0,2,2,1,1,0,2,3,0,2,0,4,0,0,0,1,2,0,1,2,0,0,3,1,1,2,1,0,0,0,1,1,0,0,1,2,2,1,1,0
12,marianne,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
13,bigot,5,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,2,2,1,1,0
14,kadhafi,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,washington,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,bathily,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,coulibaly,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
18,kacimi,2,0,1,0,2,0,0,1,0,1,0,2,1,1,0,0,0,0,0,1,0,0,0,2,0,0,1,1,12,1,0,0,0,0,0,1,2,1,0,2,1,1,3,1,1,0,1,1,1,0,0,1,2,2,1,1,0
19,foucher,0,0,2,0,0,1,0,0,2,1,0,2,1,0,0,0,0,0,1,2,2,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0
20,couriol,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,lugan,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
22,bouhafs,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,michel,4,0,0,0,2,0,0,2,0,1,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,4,4,2,2,0
24,keita,0,0,1,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,2,1,1,0,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
25,ministre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
26,ghali,3,0,2,1,1,0,0,1,0,1,3,2,1,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,2,1,1,2,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,2,2,1,2,0
27,assa,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,1,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,traore,6,0,2,0,8,0,4,3,2,5,2,4,3,2,0,0,0,0,12,3,0,0,2,4,0,0,2,4,24,5,0,0,2,0,4,1,4,2,1,1,0,0,7,2,2,0,3,2,0,0,0,4,6,6,2,2,0
29,adama,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,koufa,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
31,droukdal,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,floyd,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,louis,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,brakni,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,emie,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,2,0,1,0,0,2,2,2,0,0,0
36,beghal,4,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,1,2,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,4,4,2,2,0
37,lecointre,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38,huyghe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,hitler,0,0,1,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,2,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0
40,kersten,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,francis,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,habib,2,0,0,0,1,0,0,1,0,1,0,2,2,1,0,0,0,0,3,1,0,0,0,2,0,0,2,0,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,1,1,0,0,0,1,2,2,1,1,0
43,ihuellou,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,fenech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,zuckerberg,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,wagner,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
47,maiga,2,0,1,0,1,0,1,1,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,2,1,1,0
48,berry,0,0,0,0,1,2,0,0,4,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
49,nuland,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0
50,ryabkov,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
51,wyke,2,0,1,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,6,6,1,1,0
52,sinclair,4,0,0,0,2,0,2,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,4,0,0,2,0,6,0,0,0,0,0,0,2,4,0,0,2,0,0,2,0,0,0,0,2,0,0,0,6,4,8,2,2,0
53,fleck,4,0,0,0,2,0,2,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,4,0,0,2,0,6,0,0,0,0,0,0,2,4,0,0,2,0,0,2,0,0,0,0,2,0,0,0,6,8,4,2,2,0
54,cattigan,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,0,1,0
55,itno,2,0,0,0,1,0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,2,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,1,2,4
56,deby,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
